Abeytas, 7a,
Abiquiu, 6b,
Acomita Lake, 6b,
Adelino, 7a,
Agua Fria, 6b,
Alamillo, 7a,
Alamo, 6b,
Alamogordo, 8a,
Albuquerque, 7b,
Alcalde, 6a,
Algodones, 7b,
Angel Fire, 5b,
Animas, 8a,
Anthony, 8a,
Anton Chico, 6b,
Anzac Village, 6b,
Apache Creek, 6a,
Aragon, 6a,
Arenas Valley, 8a,
Arrey, 8a,
Arroyo Seco, 5b,
Artesia, 7a,
Atoka, 7a,
Aztec, 6b,
Bayard, 8a,
Beclabito, 7a,
Belen, 7a,
Bent, 7b,
Berino, 8a,
Bernalillo, 7b,
Bibo, 6b,
Black Rock, 6a,
Blanco, 6b,
Bloomfield, 6b,
Bluewater Acres, 6a,
Bluewater Village, 6a,
Boles Acres, 8a,
Bosque Farms, 7a,
Brazos, 5a,
Brimhall Nizhoni, 6b,
Buckhorn, 7b,
Canon de los Alamos, 6b,
Ca̱on, 6b,
Ca̱ones, 7a,
Caballo, 8a,
Canjilon, 5b,
Cannon AFB, 7a,
Canova, 6a,
Capulin, 6a,
Carlsbad, 8a,
Carnuel, 7b,
Carrizozo, 7a,
Casa Colorada, 7a,
Causey, 7a,
Cedar Crest, 7a,
Cedar Grove, 6b,
Cedar Hill, 6b,
Cedro, 6b,
Chama, 5a,
Chamberino, 8a,
Chamisal, 6b,
Chamita, 6a,
Chamizal, 7a,
Chaparral, 8a,
Chaves County, 7b,
Chical, 7a,
Chili, 6b,
Chilili, 7a,
Chimayo, 6b,
Chupadero, 6b,
Church Rock, 6a,
Cimarron, 6a,
City of the Sun, 8a,
Clayton, 6b,
Cliff, 7b,
Cloudcroft, 6b,
Clovis, 7a,
Cobre, 8a,
Cochiti, 7a,
Cochiti Lake, 7a,
Columbus, 8a,
Conchas Dam, 7a,
Cordova, 6b,
Corona, 6b,
Corrales, 7a,
Costilla, 5a,
Cotton City, 8a,
Coyote, 6a,
Crownpoint, 6b,
Cruzville, 6a,
Crystal, 6b,
Cuartelez, 6a,
Cuba, 5b,
Cubero, 6b,
Cundiyo, 6b,
Curry County, 7a,
Cuyamungue, 6b,
Cuyamungue Grant, 6b,
Datil, 6a,
De Baca County, 7a,
Deming, 8a,
Des Moines, 6a,
Dexter, 7a,
Dixon, 6a,
Do̱a Ana, 8a,
Dora, 7a,
Dulce,5b,
Duran, 6b,
Eagle Nest, 5a,
East Pecos, 6b,
Edgewood, 6b,
Edith Endave, 7b,
El Cerro, 7a,
El Cerro Mission, 7a,
El Duende, 6b,
El Rancho, 6a,
El Rito, 6b,
El Valle de Arroyo Seco, 6b,
Eldorado at Santa Fe, 6b,
Elephant Butte, 8a,
Elida, 7a,
Encinal, 7a,
Encino, 6b,
Ensenada, 5a,
Escondida, 7b,
Escudilla Bonita, 6a,
Espa̱ola, 6a,
Estancia, 6a,
Eunice, 7b,
Fairacres, 8a,
Farmington, 7a,
Faywood, 8a,
Fence Lake, 6a,
Flora Vista, 6b,
Floyd, 7a,
Folsom, 6a,
Fort Sumner, 7a,
Galisteo, 6b,
Gallina, 6a,
Gallup, 6a,
Garfield, 8a,
Gila, 7b,
Glen Acres, 8a,
Glenwood, 7b,
Glorieta, 6b,
Golden, 7a,
Grady, 7a,
Grants, 6b,
Grenville, 6a,
Guadalupe County, 7a,
Hachita, 8a,
Hagerman, 7a,
Hanover, 8a,
Happy Valley, 7b,
Harding County, 7a,
Hatch, 7b,
Hernandez, 6b,
High Rolls, 7b,
Highland Meadows, 7a,
Hillsboro, 8a,
Hobbs, 7b,
Holloman AFB, 8a,
Homestead, 6a,
Hope, 7b,
Hot Springs Landing, 8a,
House, 7a,
Hurley, 8a,
Indian Hills, 6b,
Isleta Village Proper, 7a,
Jacona, 6a,
Jaconita, 6a,
Jal, 8a,
Jarales, 7a,
Jemez Pueblo, 7a,
Jemez Springs, 6b,
Keeler Farm, 8a,
Kingston, 7b,
Kirtland, 7a,
La Cienega, 6b,
La Cueva, 6a,
La Hacienda, 8a,
La Huerta, 7b,
La Jara, 6a,
La Joya, 7a,
La Luz, 8a,
La Madera, 6b,
La Mesa, 8a,
La Mesilla, 6a,
La Plata, 6b,
La Puebla, 6a,
La Union, 8a,
La Villita, 6a,
Laguna, 7a,
Lake Arthur, 7a,
Lake Roberts, 7b,
Lake Roberts Heights, 7a,
Lake Sumner, 7a,
Lake Valley, 6b,
Lamy, 6b,
Las Cruces, 8a,
Las Maravillas, 7a,
Las Nutrias, 7a,
Las Palomas, 8a,
Las Vegas, 6a,
Lee Acres, 6b,
Lemitar, 7b,
Livingston Wheeler, 8a,
Llano del Medio, 6b,
Loco Hills, 7b,
Logan, 7a,
Lordsburg, 7b,
Los Alamos, 7a,
Los Alamos County, 6b,
Los Cerrillos, 6b,
Los Chaves, 7a,
Los Luceros, 6a,
Los Lunas, 7a,
Los Ojos, 5a,
Los Ranchos de Albuquerque, 7b,
Loving, 8a,
Lovington, 7b,
Lower Frisco, 6b,
Luis Lopez, 7b,
Lumberton, 5a,
Luna, 6a,
Lyden, 6b,
Madrid, 7a,
Madrone, 7a,
Magdalena, 7b,
Malaga, 8a,
Manzano, 7a,
Manzano Springs, 7a,
Maxwell, 5b,
Mayhill, 6b,
McCartys Village, 6b,
McIntosh, 6a,
Meadow Lake, 7b,
Melrose, 7a,
Mescalero, 7a,
Mesilla, 8a,
Mesita, 7a,
Mesquite, 8a,
Middle Frisco, 6b,
Midway, 7a,
Milan, 6a,
Mimbres, 7b,
Monterey Park, 7a,
Monument, 7b,
Moquino, 7a,
Mora, 5b,
Moriarty, 6a,
Morningside, 7a,
Mosquero, 6a,
Mountain View, 8a,
Mountainair, 6b,
Nadine, 7b,
Nageezi, 6a,
Nakaibito, 6b,
Nambe, 6b,
Napi Headquarters, 7a,
Nara Visa, 6b,
Naschitti, 6b,
Navajo, 6a,
Navajo Dam, 6b,
Nenahnezad, 7a,
Newcomb, 6b,
Newkirk, 6b,
Nogal, 7a,
North Acomita Village, 6b,
North Hobbs, 7b,
North Hurley, 8a,
North Light Plant, 6b,
North San Ysidro, 6b,
North Valley, 7b,
Oasis, 8a,
Ohkay Owingeh, 6a,
Ojo Amarillo, 7a,
Organ, 8b,
Orogrande, 8a,
Paguate, 7a,
Pajarito Mesa, 7b,
Paradise Hills, 7b,
Paraje, 7a,
Pastura, 6b,
Peak Place, 6b,
Pe̱a Blanca, 7a,
Pe̱asco, 6a,
Pecan Park, 8a,
Pecos, 6a,
Peralta, 7a,
Picuris Pueblo, 6a,
Pie Town,  6a,
Pinehill, 5b,
Pinon, 7a,
Pinos Altos, 7b,
Placitas, 7b,
Playas, 8a,
Pleasanton, 7b,
Pojoaque, 6b,
Polvadera, 7a,
Ponderosa, 6b,
Ponderosa Pine, 6b,
Portales, 7a,
Pueblito, 6a,
Pueblitos, 7a,
Pueblo, 6a,
Pueblo of Sandia Village, 7b,
Pueblo Pintado, 5b,
Puerto de Luna, 7a,
Pulpotio Bareas, 8a,
Quay County, 7a,
Quemado, 5b,
Questa, 5b,
Radium Springs, 8a,
Ramah, 5b,
Ranchos de Taos, 5b,
Raton, 6a,
Red River, 5a,
Regina, 5b,
Reserve, 6b,
Ribera, 6a,
Rincon, 7b,
Rio Communities, 7a,
Rio en Medio, 6b,
Rio Lucio, 6a,
Rio Rancho, 7b,
Rivers, 6b,
Rock Springs, 6b,
Rodeo, 8a,
Rodey, 7b,
Roosevelt County, 7a,
Rosedale, 8a,
Roswell, 7b,
Rowe, 6b,
Roy, 6b,
Ruidoso, 7a,
Ruidoso Downs, 7a,
Sacramento, 6b,
Salem, 8a,
San Acacia, 7a,
San Antonio, 7b,
San Antonito, 7b,
San Antonito, 7a,
San Cristobal, 6a,
San Felipe Pueblo, 7b,
San Fidel, 6b,
San Ildefonso Pueblo, 6b,
San Jon, 7a,
San Jose, 6a,
San Jose, 6a,
San Lorenzo, 7b,
San Luis, 6b,
San Mateo, 6b,
San Miguel, 8a,
San Pablo, 8a,
San Pedro, 7a,
San Rafael, 6b,
San Ysidro, 8a,
San Ysidro, 7a,
Sandia Heights, 7b,
Sandia Knolls, 7a,
Sanostee, 6b,
Santa Ana Pueblo, 7b,
Santa Clara, 8a,
Santa Clara Pueblo, 6b,
Santa Cruz, 6a,
Santa Fe, 6b,
Santa Rosa, 7a,
Santa Teresa, 8a,
Santo Domingo Pueblo, 7a,
Sausal, 7a,
Seama, 6b,
Seboyeta, 7a,
Sedillo, 7a,
Sena, 6a,
Sheep Springs, 6b,
Shiprock, 7a,
Silver City, 8a,
Skyline-Ganipa, 6b,
Socorro, 7b,
Soham, 6a,
Sombrillo, 6a,
South Acomita Village, 6b,
South Valley, 7a,
Spencerville, 6b,
Springer, 5b,
Sunland Park, 8b,
Sunshine, 8a,
Tajique, 6b,
Talpa, 5b,
Taos, 5b,
Taos Pueblo, 6a,
Taos Ski Valley, 5b,
Tatum, 7a,
Tecolote, 6b,
Tecolotito, 6b,
Tesuque, 6b,
Tesuque Pueblo, 6b,
Texico, 7a,
Thoreau, 6a,
Tierra Amarilla, 5a,
Tijeras, 7a,
Timberon, 7b,
Tohatchi, 7a,
Tome, 7a,
Torreon, 6a,
Torreon, 6b,
Trout Valley, 7b,
Truchas, 6b,
Truth or Consequences, 8b,
Tse Bonito, 6a,
Tucumcari, 7a,
Tularosa, 8a,
Twin Forks, 6b,
Twin Lakes, 6a,
Tyrone, 8a,
Union County, 6b,
University Park, 8a,
Upper Fruitland, 7a,
Ute Park, 6a,
Vadito, 6a,
Vado, 8a,
Valencia, 7a,
Vaughn, 6b,
Veguita, 7a,
Velarde, 6a,
Ventura, 8a,
Villanueva, 6b,
Virden, 8a,
Wagon Mound, 5b,
Waterflow, 7a,
Weed, 6b,
West Hammond, 7a,
White Rock, 7a,
White Sands, 8b,
White Signal, 7b,
Whites City, 7b,
Willard, 6b,
Williamsburg, 8a,
Windmill, 8a,
Winston, 7a,
Yah-ta-hey, 6a,
Young Place, 6a,
Youngsville, 6b,
Zia Pueblo, 7a,
Zuni Pueblo, 6a